ojibwe_word,english_translation,word_class,source,license,orthography,notes,audio_url
abanzh,"lodge pole, rafter",ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi abanzhiin; lac abanzhiing; dim abanzhiins,
abashkwebiigininjiishin,get a blister on one's hand,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabashkwebiigininjiishin; pn ebashkwebiigininjiishing,
abashkwebiigizi,have a blister,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indabashkwebiigiz; prt ebashkwebiigizid,
abashkwebiigizideshin,get a blister on one's foot,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabashkwebiigizideshin; prt ebashkwebiigizideshing,
abaabas,cense s.o.,via,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indabaabaswaa; pn ebaabaswaad,
abaabasan,cense s.t.,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabaabasaan; pn ebaabasang,
abaabaso,cense oneself,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabaabas; prt ebaabasod,
abaagamide,be warm (as a liquid),vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt ebaagamideg; aug abaagamidemagad; pn aug ebaagamidemagak abaagamizan mi warm s.t. (as a liquid); Isg indabaagamizaan; pn ebaagamizang,
abaasandeke,bask in the sun,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabaasandeke; prt ebaasandeked,
abaaso,warm up in the sun,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabaas; prt ebaasod,
abaate,warm up (of the weather),vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt ebaateg; aug abaatemagad; prt aug ebaatemagak,
abaawiganezo,warm one's back,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indabaawiganez; prt ebaawiganezod,
abi,"be at home, be in a certain place, sit in a certain place",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indab; pn ebid,
abininjiizo,warm one's hands,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabininjiiz; pn ebininjiizod,
abinoojiinh,child,na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"pi abinoojiinyag; dim abinoojiiyens, abinoojiins abinoojiinh-biizikaagan ra'item of children's clothing; pi abinoojiinh-biizikaaganan; loc abinoojiinh-biizikaaganing; dim abinoojiinhbiizikaagaans",
abinoojiinyikaazo,pretend to be a child,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabinoojiinyikaaz; pn ebinoojiinyikaazod,
abinoojiinyiwi,be a child,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indabinoojiinyiw; prt ebinoojiinyiwid,
abinoojiiyens,baby,na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi abinoojiiyensag; also abinoojiins,
abiwin,"room, living room",ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi abiwinan; he abiwining; dim abiwinens,
abiz,warm s.o. at the fire,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabizwaa; pn ebizwaad,
abizamaw,warm (s.t.) for s.o. at the fire,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indabizamawaa; pn ebizamawaad,
abizan,warm s.t. at the fire,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabizaan; pn ebizang,
abizidezo,warm one's feet,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabizidez; pn ebizidezod,
